Date,Steps,Calories,Distance(meters),ActiveTime(seconds),DataSource
2026-01-13,5429,178,3852,2961,Phone
2026-01-12,9854,324,6991,5374,Phone
2026-01-11,913,30,648,498,Phone
2026-01-10,808,26,573,440,Phone
2026-01-09,13120,432,9309,7156,Phone
2026-01-08,10367,341,7355,5654,Phone
2026-01-07,23210,764,16468,12660,Phone
2026-01-06,214,7,152,116,Phone
2026-01-04,3490,114,2476,1903,Phone
2026-01-03,27292,899,19364,14886,Phone
2026-01-02,5753,189,4082,3138,Phone
2025-12-31,124,4,88,67,Phone
2025-12-30,3723,122,2641,2030,Phone
2025-12-29,1157,38,821,631,Phone
2025-12-28,7002,230,4968,3819,Phone
2025-12-27,8920,329,6779,5352,Phone
2025-12-26,5890,218,4476,3534,Phone
2025-12-25,3540,130,2690,2124,Phone
2025-12-24,10230,375,7774,6138,Phone
2025-12-23,7650,281,5814,4590,Phone
2025-12-22,9875,362,7505,5925,Phone
2025-12-21,4120,152,3131,2472,Phone
2025-12-20,13450,495,10222,8070,Phone
2025-12-19,11530,420,8762,6918,Phone
2025-12-18,6210,230,4719,3726,Phone
2025-12-17,8542,315,6491,5125,Phone
2025-12-16,10185,336,7226,5553,Phone
2025-12-15,2164,71,1535,1180,Phone
2025-12-14,23367,772,16579,12745,Phone
2025-12-13,1290,42,915,703,Phone
2025-12-12,15594,515,11064,8505,Phone
2025-12-11,9685,320,6872,5282,Phone
2025-12-10,10718,354,7605,5846,Phone
2025-12-09,7215,238,5119,3935,Phone
2025-12-08,5995,198,4254,3270,Phone
2025-12-07,3735,123,2650,2037,Phone
